Wavelength,1,2,3,4,5,6,7,8,9,10
2.18555,0.138559,0.130362,0.159872,0.18721,0.132727,0.142766,0.159264,0.148406,0.140277,0.143616
2.19216,0.138584,0.13012,0.1594,0.18675,0.132677,0.142647,0.158867,0.148479,0.140003,0.143543
2.19877,0.138545,0.129995,0.159065,0.186534,0.132595,0.142397,0.158589,0.148274,0.139764,0.143313
2.20538,0.138401,0.130001,0.158945,0.186195,0.132246,0.142429,0.158095,0.147753,0.139804,0.14326
2.21199,0.138368,0.129905,0.15848,0.186097,0.132258,0.142236,0.157333,0.147928,0.139523,0.143079
2.2186,0.138079,0.129334,0.158105,0.185953,0.132186,0.142375,0.156858,0.147996,0.139598,0.142982
2.22521,0.138117,0.129379,0.157587,0.185236,0.132045,0.142015,0.156197,0.147647,0.139242,0.142903
2.23182,0.137847,0.129439,0.157227,0.184144,0.132038,0.142166,0.155804,0.14732,0.139155,0.142704
2.23843,0.137726,0.129287,0.157018,0.183844,0.132063,0.141894,0.155652,0.147178,0.139068,0.142704
2.24504,0.13788,0.129065,0.156421,0.183813,0.132159,0.142068,0.155241,0.147136,0.139122,0.142872
2.25165,0.13749,0.129088,0.155671,0.182773,0.1317,0.141672,0.154784,0.146771,0.139008,0.142479
2.25827,0.137378,0.128693,0.154518,0.181275,0.131437,0.141473,0.153834,0.146209,0.138572,0.141995
2.26488,0.136983,0.128326,0.153213,0.179584,0.131216,0.141018,0.152181,0.145618,0.138224,0.141457
2.27149,0.137201,0.128559,0.15224,0.178208,0.131331,0.141254,0.151872,0.145488,0.1385,0.14184
2.2781,0.137152,0.128607,0.150641,0.176074,0.131295,0.140875,0.151057,0.144688,0.138176,0.141947
2.28472,0.137112,0.128442,0.149519,0.174025,0.131177,0.14059,0.150165,0.14415,0.138069,0.141694
2.29133,0.137333,0.128697,0.148818,0.172594,0.131193,0.140661,0.148856,0.143839,0.138097,0.141671
2.29795,0.137464,0.128233,0.148288,0.170726,0.131289,0.140578,0.148219,0.14339,0.13787,0.141306
2.30456,0.136894,0.12824,0.148268,0.170367,0.130882,0.1402,0.147487,0.143086,0.137957,0.141018
2.31118,0.136912,0.12811,0.14831,0.170881,0.130755,0.140097,0.146847,0.142649,0.137528,0.141098
2.31779,0.136349,0.127734,0.148275,0.171063,0.13036,0.140013,0.146805,0.142591,0.137344,0.14077
2.32441,0.136144,0.127609,0.148311,0.171346,0.130036,0.139863,0.147503,0.142392,0.137189,0.140569
2.33102,0.136137,0.127366,0.14838,0.171844,0.130412,0.139512,0.148219,0.142965,0.137372,0.140078
2.33764,0.135855,0.127137,0.148303,0.171861,0.130289,0.139777,0.14843,0.14317,0.137312,0.140203
2.34426,0.136029,0.127397,0.148262,0.171878,0.13034,0.139997,0.149305,0.14351,0.137396,0.140542
2.35087,0.135691,0.127323,0.148195,0.171141,0.130263,0.139883,0.149575,0.143446,0.137479,0.140285
2.35749,0.1358,0.127289,0.148074,0.170564,0.130053,0.13983,0.149819,0.143217,0.137445,0.140281
2.36411,0.135884,0.127333,0.148125,0.170818,0.130262,0.139828,0.149559,0.143518,0.137413,0.140367
2.37072,0.1357,0.127358,0.147988,0.170573,0.130432,0.139768,0.149189,0.143467,0.137544,0.140642
2.37734,0.135576,0.127105,0.147809,0.170488,0.129868,0.139409,0.148759,0.142947,0.13738,0.139955
2.38396,0.135287,0.126586,0.147226,0.169598,0.129557,0.139029,0.147977,0.14212,0.136945,0.13959
2.39058,0.135075,0.126724,0.147289,0.169446,0.129862,0.138866,0.147596,0.141901,0.136861,0.139693
2.3972,0.135506,0.126824,0.147328,0.169675,0.12993,0.13931,0.147899,0.142589,0.13732,0.139953
2.40382,0.135764,0.1273,0.147402,0.169967,0.130136,0.139672,0.148285,0.143129,0.137413,0.140198
2.41044,0.135958,0.127157,0.147849,0.170762,0.130188,0.139748,0.148662,0.143689,0.137852,0.140507
2.41706,0.135959,0.127312,0.14813,0.170888,0.130397,0.140081,0.148722,0.143745,0.137788,0.140573
2.42368,0.13568,0.127142,0.147894,0.170661,0.130029,0.139667,0.148264,0.143495,0.137791,0.140208
2.4303,0.135827,0.127076,0.148001,0.170786,0.130074,0.139738,0.147914,0.143121,0.138002,0.140154
2.43692,0.136003,0.126934,0.147985,0.170972,0.130203,0.139626,0.147835,0.143052,0.138136,0.140465
2.44354,0.135782,0.127146,0.148009,0.17094,0.130145,0.139735,0.147621,0.143269,0.138085,0.140503
2.45017,0.135638,0.127133,0.147837,0.170929,0.130029,0.139541,0.146951,0.143175,0.137975,0.140146
2.45679,0.135952,0.126874,0.147387,0.170406,0.129935,0.13923,0.14642,0.142698,0.137998,0.140022
2.46341,0.135839,0.126686,0.147213,0.170062,0.129924,0.139245,0.146307,0.142673,0.138168,0.140018
2.47003,0.135253,0.126482,0.146765,0.169297,0.129531,0.138939,0.146082,0.142339,0.138162,0.140152
2.47666,0.134696,0.126127,0.146095,0.168628,0.129211,0.138569,0.145473,0.141886,0.137749,0.139889
2.48328,0.134225,0.125584,0.145571,0.167729,0.128663,0.138168,0.145049,0.1417,0.137161,0.139285
2.4899,0.134768,0.126164,0.145454,0.167708,0.128974,0.138556,0.144757,0.141649,0.137516,0.139543
2.49653,0.135042,0.126319,0.145712,0.16743,0.129166,0.138683,0.144962,0.141459,0.137815,0.139543
2.50312,0.13474,0.125822,0.145023,0.166768,0.129089,0.138581,0.144674,0.141383,0.13749,0.139112
2.50972,0.134802,0.125953,0.144545,0.166986,0.128859,0.138312,0.144231,0.141324,0.137386,0.138867
2.51632,0.134143,0.125776,0.144287,0.165886,0.128566,0.138107,0.143951,0.140734,0.137538,0.138854
2.52292,0.133743,0.125438,0.143873,0.165179,0.12826,0.137801,0.143662,0.140502,0.137046,0.138084
2.52951,0.133783,0.125593,0.143745,0.165266,0.128396,0.137722,0.1438,0.140501,0.137088,0.138092
2.53611,0.13375,0.125394,0.143415,0.165007,0.128207,0.137647,0.144099,0.140509,0.137127,0.138309
2.54271,0.133551,0.124983,0.142934,0.164924,0.127637,0.13762,0.143898,0.140263,0.136926,0.138258
2.54931,0.132924,0.124445,0.142377,0.164141,0.12753,0.137281,0.143745,0.139866,0.136742,0.137829
2.55591,0.132502,0.124297,0.141859,0.163382,0.127084,0.136911,0.143471,0.139893,0.1361,0.13728
2.56251,0.132721,0.124143,0.141751,0.163541,0.126943,0.136781,0.143654,0.139357,0.136295,0.137165
2.56911,0.132076,0.123668,0.141117,0.162886,0.126575,0.136337,0.143262,0.138971,0.136103,0.136951
2.57571,0.132373,0.123801,0.141279,0.163023,0.126678,0.136438,0.143548,0.139527,0.136059,0.137087
2.58231,0.132213,0.123417,0.141211,0.163112,0.126806,0.136228,0.143619,0.139533,0.136134,0.137077
2.58891,0.13189,0.123444,0.14079,0.162957,0.126594,0.136328,0.143634,0.139179,0.136176,0.136701
2.59551,0.131533,0.123206,0.140177,0.16254,0.126189,0.136203,0.143023,0.1385,0.135798,0.136227
2.60212,0.130765,0.122643,0.139203,0.161564,0.125346,0.13528,0.142298,0.137854,0.135187,0.135543
2.60872,0.131204,0.122697,0.139228,0.161236,0.125572,0.135469,0.142371,0.138115,0.135629,0.135704
2.61532,0.131162,0.122644,0.139477,0.161135,0.125894,0.13581,0.142517,0.138456,0.135806,0.135945
2.62192,0.131129,0.122327,0.138681,0.160772,0.125611,0.135524,0.14227,0.138391,0.135577,0.13605
2.62853,0.130397,0.121965,0.138141,0.159401,0.124906,0.134827,0.141604,0.137699,0.135413,0.135343
2.63513,0.129774,0.121334,0.136569,0.157801,0.124165,0.134025,0.140544,0.136781,0.134666,0.134418
2.64174,0.128368,0.120109,0.134665,0.155563,0.12279,0.132507,0.138397,0.134952,0.133165,0.132871
2.64834,0.126601,0.118408,0.132827,0.152976,0.120989,0.131041,0.136369,0.13289,0.13116,0.131645
